rank_,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
33,25160.31748747,25160.31748747,24000.47024753,25160.31751273,25211.60655967,23776.62166659,20444.77224854,20008.00059595,20003.69740316,20870.24180043,21674.74903382,20008.00061382,20650.87813935,21800.00467825,22899.99023869,22211.16533312,22899.99024646,22211.16533312,22211.1658203,22211.16584765,22899.99034232,22211.16586953,21700.00481943,20700.00170731,22899.99039177,23652.49131238,23023.30065493,23512.0368927,23471.75037181,24495.3504297,23230.51814302,23630.51814302,23630.51814302,23313.82090429
34,24269.0486965,24000.47022773,23227.61517756,24000.47024753,25160.31751273,23227.61518533,20139.93132249,20000.00002757,20000.00002757,20008.00060605,20008.00060605,20000.00004534,20008.00061382,21584.75305797,22568.90698011,21800.00468425,22211.16533312,21700.00469599,21700.00469599,21700.00473444,22211.16585859,21824.45814815,21346.21212547,20624.00002743,22211.16600243,23227.61531974,22984.99463319,23227.61534162,23227.61534709,23969.0015367,23094.4051,22899.99043553,22899.99043553,22899.99043553
35,24000.47022773,23227.61515776,22211.16527318,23227.61517756,24000.47024753,22548.71433578,20008.00059595,19999.99898174,19999.99898174,20000.00002757,20000.00002757,19721.60193547,20000.00005334,20008.00061382,22211.16532165,20008.00063182,21800.00468425,20800.01008779,21204.81008779,21204.81011514,21700.00479185,21700.00480841,21166.98148538,20280.79881357,21708.97104923,23023.30054099,22899.99041365,23023.30066587,22899.99043006,23227.61535256,22899.99043553,22583.86041865,22400.00007111,22400.00007661
36,23227.61515776,22370.0445416,22023.70747999,22211.16527318,23227.61517756,22211.60533193,20000.00002757,19939.92096061,19939.92097061,19999.99898174,19999.99898174,19630.81002627,19721.60193547,20000.00005334,21800.00468425,20000.00008779,20800.01008779,20008.0007409,20008.0007409,20008.00076825,21204.81012608,20854.80980955,21130.80932057,20008.00095856,21500.00003282,22899.99040271,22806.38327398,22899.99042459,22400.00007111,22899.99043553,22400.00007111,22400.00007111,21630.58952746,20985.21165619
37,22211.16525338,22211.16525338,21900.00470184,22023.70747999,22548.71432024,22211.16528095,19999.99898174,19721.6019177,19721.6019177,19721.6019177,19721.6019177,19539.92077317,19630.81002627,19721.60193547,20008.00063182,20000.00006534,20008.00063182,19721.60194747,19721.60194747,19414.42992038,20124.49485445,20008.0008366,20008.00094762,19586.83435259,21017.14204451,22400.00003829,22400.00004923,22400.00006017,22211.16629173,22530.51818196,22089.48106665,21999.86776665,21166.25019846,20433.15517099
38,22100.00502506,22100.00502506,21754.30657548,21900.00480002,22211.16527318,21900.00480779,19721.6019177,19630.8100085,19630.8100085,19630.8100085,19630.8100085,19414.42987504,19539.92077317,19630.81002627,20000.00006534,19828.68152263,20000.00006534,19630.81003827,19414.42989303,18001.00004391,20008.00082566,19414.42999981,19669.00002196,19414.43002177,20100.00005278,22211.16601337,22211.16602431,22211.16602978,21780.51815431,22400.00007111,20136.23538292,20146.88838579,20212.60604738,20136.23538292
39,21605.82038568,21642.39031568,21370.08711764,21754.30657548,21900.00480002,21806.85355778,19630.8100085,19517.41731191,19517.41732191,19539.92074994,19539.92074994,18000.00001,19414.42987504,19539.92077317,19721.60194747,19721.60194747,19721.60194747,19414.42989303,19139.92019604,17422.87804547,20001.00101094,18102.19634939,19414.43001083,19199.99769712,20008.00097496,21601.13637835,21605.52046306,21480.51981562,21206.38284328,22211.16629173,20008.00192617,20136.23538292,20136.23538292,20008.00192617
40,21126.09240674,21319.71625774,20324.3587949,20324.3587949,21754.30657548,20639.93186174,19517.41731191,19414.42985494,19414.42986504,19414.42986504,19414.42986504,17238.54000327,18000.00001,19414.42987504,19630.81003827,19630.81003827,19630.81003827,19139.92019604,18001.00000546,17001.00004391,19414.42997779,18024.4900702,17231.64180863,18053.68132737,19586.83436353,21217.14106212,21601.13639497,21206.38283234,21029.5390151,22070.06681665,19974.21512094,20008.00192617,20008.00192617,19414.43070193
41,20844.05647042,20844.05647042,20008.00045782,20008.00045782,21336.22250528,20008.00059048,19414.42985494,17850.0000971,17975.7581605,18000.0,18000.0,16784.91016811,16784.91016811,18781.87782275,19414.42989303,19414.42989303,19414.42989303,18001.00000546,17001.00000546,16045.7054909,18001.00005485,17719.00001094,16487.36803528,15745.55582898,19414.43003271,20008.00189335,20136.23538292,20498.84989538,20498.84990632,20666.019827,19586.8394681,19586.8394681,19414.43070193,19267.5276892
42,20324.358765,20324.3587751,20000.0000198,20000.0000198,20008.00058271,20000.00002757,18056.74740165,16508.62693371,15745.55560258,17975.7581605,17975.7581605,16270.90285773,15745.55561581,18000.00001,19239.92051861,19239.92051861,19239.92051861,17001.00000546,16101.24017803,15745.55574414,17001.00005485,17301.00107785,16124.48768302,15499.89106226,19199.99770806,19906.53891363,20008.00190429,20136.23538292,20136.23538292,20498.84990632,19414.43069647,19414.43069647,19183.15517099,18799.99657552
43,20008.00043802,20008.00043802,19999.99896652,19999.99896652,20000.0000198,19999.99898174,18008.62693371,15903.6974647,15499.89068288,15745.55560258,15745.55560804,15745.55561581,15499.89068288,16784.91016811,18890.07139663,18000.00002511,18086.22415706,16101.24017803,15745.55562781,15644.82281979,16255.65611467,15745.55581249,15745.55582351,14999.99860829,18119.70266416,19586.835769,19906.53892457,20033.1550465,20008.00192617,20458.35031957,18799.99657552,19241.73651413,18799.99657552,18705.00118088
44,19516.913587,20000.0,19517.41729867,19630.80996306,19999.99897397,19721.6019177,15745.55559148,15745.55559148,15000.00003668,15499.89068288,15499.89068288,15655.03931365,15273.33184974,16463.99930679,18600.000006,16101.24017803,18000.00002511,15745.55562781,15499.89069488,15499.89080899,16021.50235785,15563.23782081,15499.89105132,14944.4352545,16517.37308501,19414.43004365,19586.83578541,20008.00191523,19586.83580182,20365.71693337,18485.84705097,18799.99657552,16785.94790029,16785.94800029
45,19414.42814357,19999.99894672,19414.42816337,19517.41729867,19721.60190993,19630.8100085,15500.0000971,15499.89068288,14999.99915656,15000.00016224,15000.00016224,15499.89068288,15000.00017001,15745.55561581,18000.000016,15745.55562781,17690.66985421,15630.39767431,15033.2621633,15033.26220175,15987.17002188,15499.8910403,15120.498408,14401.75775778,16394.99715539,19399.99755731,19414.43005459,19586.83579635,19414.43056553,20206.38278464,18433.15506291,18433.15506291,16025.71271755,16306.5465148
46,16252.42124773,19516.913587,18331.11621596,19414.42816337,19630.80996306,19517.41730644,15499.89068288,15000.00003668,14999.9984161,14999.99915656,14999.99922748,15273.33184974,15000.00002964,15499.89068288,17904.99917905,15533.2623481,17593.3211,15499.89069488,14999.99844963,14999.99847698,15745.55580155,15033.2622701,15033.26228112,14324.48516367,16201.75777419,17216.14218392,19199.99672731,19414.43056006,19033.15505744,20136.23538292,16006.38277092,18430.48609404,16006.38277092,16170.71271755
47,15745.55550845,19414.42814357,17000.0000198,18884.99979741,19517.41729867,19414.42817114,15000.00003668,14999.99915656,14999.01084894,14999.9984161,14999.99842209,15000.00017001,14999.99923525,15358.89956127,17781.87783475,15499.89069488,16101.24017803,15033.2621633,14500.000106,14900.56190157,15499.89081993,15001.00011629,14999.99860282,14212.9899465,15745.55583992,16838.31885178,18036.69807806,19199.99673825,19025.39281107,20008.00192617,15807.55365752,18420.9909693,15745.55593709,15946.05
48,15724.00027574,16252.4212913,16925.8103111,18324.68776956,19414.42816337,18892.92198195,14999.99915656,14999.9984161,14500.01446963,14500.01446963,14500.01446963,14999.99923525,14999.99842986,15250.00002964,15745.55562781,14999.99844963,15745.55562781,15022.37511643,14000.01429683,14500.00013335,15033.26225916,14999.99858633,14944.43524903,14050.83247572,15499.89138108,15745.55585086,15745.55588221,18989.99893476,18799.99657005,19586.8394681,15745.55590409,16006.38277092,15318.09830205,15745.55597771
49,15499.88184012,15946.9485,15745.55556825,18019.49158558,18899.96629122,18312.84139599,14999.9984161,14999.90003145,14500.00016336,14500.00016336,14500.00016336,14999.99842986,14500.01446963,14999.99923525,15533.2623481,14935.85365785,15499.89069488,14999.99844963,14000.00046922,14000.01433528,14999.99858086,14500.00015523,14669.41294966,14042.0630427,15184.2768442,15272.99463319,15233.75781248,16119.44861829,18390.50608769,19414.43066553,15629.71271755,15745.55590409,15000.00160447,15099.87979947
50,14999.99980892,15745.55550845,15724.00029554,17000.0000198,18803.62165882,18056.74639812,14999.90003145,14999.01084894,14006.00864591,14000.00044945,14369.57459354,14500.01446963,14500.00016336,14999.99842986,15499.89069488,14500.01448163,15372.37501097,14500.000106,13792.37680206,14000.00049657,14500.00014429,14093.74293864,14500.00016625,14000.00063141,14999.99861923,14999.99863017,15136.08832382,15745.55589315,18305.46037616,18799.99657552,15348.07840229,15349.71271755,14999.99866299,14999.9999916
51,14999.99899948,15724.00027574,15499.88185992,15745.55557824,18324.68776956,15745.55558601,14999.01084894,14500.01446963,14000.00044945,13400.0,14000.00044945,14500.00016336,14000.00045722,14500.01446963,14999.99844186,14500.000106,15033.2621633,14000.01429683,13681.87785852,13723.59811071,14000.01439269,14001.00006579,14000.01441465,13500.00001641,14874.81737221,14833.12957638,14999.99864111,15625.93682199,15865.3304249,18433.15505744,14999.99866299,15238.08838885,14804.980057,14999.99866299
52,14999.89999841,15499.88184012,15299.7710203,15499.8906154,18056.85940333,15499.89067741,14500.01446963,14500.00016336,13889.31790963,13023.23232719,14000.00001641,14450.00002964,13023.23233496,14500.00016336,14500.01448163,14000.00046922,14999.99844963,14000.00046922,13023.23234696,13586.00003845,14000.00055398,14000.01440363,14000.00057594,13188.89780587,14843.43156544,14791.75780154,14825.12858732,15233.75904795,15745.55590409,17643.2994474,14804.980057,14999.99866299,14770.12560373,14998.87454495
53,14999.7729904,15299.7710005,15000.0000198,15299.7710203,15745.55557824,15000.00003668,14500.00016336,14000.00043945,13363.99370516,12565.08134374,13487.91253066,14000.00045722,12899.37782275,14000.00045722,14500.000106,13742.37190674,14681.87785852,13681.87785852,12907.18476194,13330.87788587,13882.37689792,14000.00056492,13500.00001094,12080.00001641,14126.45237547,14000.00065329,14000.0006697,14999.99865205,15300.00006017,15800.00006564,14770.12560373,14804.980057,14199.29081156,14804.980057
54,14504.71390364,15000.0,15000.0000198,15000.0000198,15499.89066964,15000.00002757,14000.00043945,13984.08522315,12745.06414416,12367.45802909,13023.23232719,13023.23233496,12565.08135151,13023.23233496,14000.00046922,13023.23234696,14500.000106,13601.78393253,12848.06273652,13292.37684051,13340.99582029,13242.37690886,13455.0822373,12001.00013825,14000.00064235,13828.10599499,13317.61810677,14775.12759826,15074.17560619,15745.55590409,14199.29081156,14770.12560373,14000.00069158,14770.12560373
55,14500.00013032,15000.0,14999.99982872,15000.0000198,15299.7710203,14999.99983649,13759.81790963,13759.81790963,12565.08134374,12000.29043068,12565.08134374,12899.37782275,12000.29043845,12565.08135151,13023.23234696,12565.08136351,14000.01429683,13397.96273652,12565.08136351,13023.23238541,13205.5228772,13023.23245376,13400.37692535,12000.29057411,13780.00002735,12000.29059599,13134.16667269,14406.02001641,14999.99865752,15464.17461713,14000.00069158,14199.29081156,13198.16295705,14768.0879482
